City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,altai,46.3722,96.2583,1.67,52,79,3.99,MN,1682445866
315,amga,60.8953,131.9608,-7.73,97,100,0.83,RU,1682445866
316,shiqian,27.5225,108.2281,11.37,89,1,0.53,CN,1682445866
317,moyynkum,44.2914,72.9469,15.34,32,0,9.76,KZ,1682445867
318,mbanza-ngungu,-5.25,14.8667,22.84,88,47,0.48,CD,1682445867
319,heroica guaymas,27.9333,-110.9,28.03,50,0,2.06,MX,1682445868
320,hassi messaoud,31.6804,6.0729,34.92,10,0,1.54,DZ,1682445868
321,egilsstadir,65.2653,-14.3948,-0.05,69,75,5.66,IS,1682445868
322,mejit,10.2753,170.8646,27.22,78,98,8.72,MH,1682445868
323,vila do maio,15.1333,-23.2167,26.44,77,3,7.31,CV,1682445869
324,carhuamayo,-10.9167,-76.0333,10.3,55,83,5.54,PE,1682445869
325,takoradi,4.8845,-1.7554,28.64,77,74,5.18,GH,1682445851
326,antofagasta,-23.65,-70.4,19.6,74,42,3.77,CL,1682445870
327,korla,41.7597,86.1469,16.67,28,83,8.79,CN,1682445630
328,berezna,51.5716,31.7846,12.74,61,96,2.48,UA,1682445870
329,brookings,44.3114,-96.7984,9.54,46,0,7.72,US,1682445831
330,enewetak,11.3474,162.3373,26.49,80,100,6.89,MH,1682445870
331,nikel,69.4128,30.222,0.1,84,35,1.74,RU,1682445871
332,bel ombre,-4.6167,55.4167,27.91,83,20,1.54,SC,1682445871
333,al kharijah,25.4514,30.5464,27.02,12,63,4.31,EG,1682445871
334,georgetown,5.4112,100.3354,27.96,93,20,2.68,MY,1682445635
335,bengkulu,-3.8004,102.2655,24.54,93,100,0.84,ID,1682445872
336,kimbe,-5.5502,150.1429,24.71,93,91,1.22,PG,1682445872
337,crane,31.3974,-102.3501,24.98,29,24,4.0,US,1682445872
338,penzance,50.1186,-5.5371,9.38,73,100,10.2,GB,1682445872
339,bikaner,28.0167,73.3,30.36,15,79,2.99,IN,1682445873
340,carutapera,-1.195,-46.02,29.07,71,63,4.02,BR,1682445873
341,chazuta,-6.5742,-76.1367,28.47,78,91,0.84,PE,1682445873
342,st. john's,47.5649,-52.7093,4.26,94,100,8.49,CA,1682445874
343,wuhai,39.6647,106.8122,13.33,33,43,6.37,CN,1682445874
344,pangkalpinang,-2.1333,106.1333,25.54,86,46,0.91,ID,1682445874
345,springs,-26.25,28.4,18.47,29,56,0.78,ZA,1682445874
346,port douglas,-16.4833,145.4667,24.51,82,94,7.32,AU,1682445874
347,east ballina,-28.8667,153.5833,16.0,74,53,5.82,AU,1682445875
348,slave lake,55.2834,-114.769,4.99,87,100,4.12,CA,1682445875
349,loushanguan,28.1375,106.82,10.51,84,33,0.76,CN,1682445875
350,angaur state,6.906,134.13,28.48,74,12,3.64,PW,1682445875
351,nosy varika,-20.5833,48.5333,24.08,81,29,3.06,MG,1682445875
352,formosa do rio preto,-11.0483,-45.1931,32.71,30,31,3.17,BR,1682445876
353,van buren,35.4368,-94.3483,12.34,79,100,2.06,US,1682445876
354,umba,66.6871,34.3429,-1.19,87,74,1.91,RU,1682445876
355,broken hill,-31.95,141.4333,18.21,50,94,4.84,AU,1682445876
356,nchelenge,-9.3451,28.734,23.83,77,78,1.73,ZM,1682445877
357,tahoua,14.8888,5.2692,39.99,14,0,2.06,NE,1682445877
358,battenberg,51.0167,8.65,9.46,72,96,3.38,DE,1682445877
359,kelibia,36.8476,11.0939,21.14,68,0,1.54,TN,1682445877
360,utrik,11.2278,169.8474,27.05,78,86,8.39,MH,1682445878
361,mana,5.6592,-53.7767,27.87,78,94,3.81,GF,1682445878
362,novaya lyalya,59.055,60.599,11.86,59,27,2.66,RU,1682445878
363,praia,14.9215,-23.5087,26.3,53,20,8.23,CV,1682445879
